,eig,first,prob,second,third
0,0.0002543131510416713,1,0.003814697265625,1,1
1,0.0002543286730845862,1,0.003814697265625,1,2
2,0.0003051944077015062,1,0.00457763671875,1,3
3,0.00025432867308460005,1,0.003814697265625,1,4
4,0.00025432867308460005,1,0.003814697265625,1,5
5,0.0003051944077015062,1,0.00457763671875,1,6
6,0.0002543286730845862,1,0.003814697265625,2,1
7,0.0002543286730845862,1,0.003814697265625,2,2
8,0.0003051944715061622,1,0.00457763671875,2,3
9,0.00025432872625513747,1,0.003814697265625,2,4
10,0.00025432872625513747,1,0.003814697265625,2,5
11,0.0003051944715061622,1,0.00457763671875,2,6
12,0.0003051944077015062,1,0.00457763671875,3,1
13,0.0003051944715061622,1,0.00457763671875,3,2
14,0.00036623328924180465,1,0.0054931640625,3,3
15,0.0003051944715061622,1,0.00457763671875,3,4
16,0.0003051944715061622,1,0.00457763671875,3,5
17,0.00036623336580739185,1,0.0054931640625,3,6
18,0.0002543286730845862,1,0.003814697265625,4,1
19,0.00025432872625513747,1,0.003814697265625,4,2
20,0.0003051944715061622,1,0.00457763671875,4,3
21,0.00025432867308460005,1,0.003814697265625,4,4
22,0.00025432872625513747,1,0.003814697265625,4,5
23,0.0003051944715061622,1,0.00457763671875,4,6
24,0.0002543286730845862,1,0.003814697265625,5,1
25,0.00025432872625513747,1,0.003814697265625,5,2
26,0.0003051944715061622,1,0.00457763671875,5,3
27,0.00025432872625513747,1,0.003814697265625,5,4
28,0.00025432867308460005,1,0.003814697265625,5,5
29,0.0003051944715061622,1,0.00457763671875,5,6
30,0.0003051944077015062,1,0.00457763671875,6,1
31,0.0003051944715061622,1,0.00457763671875,6,2
32,0.00036623336580739185,1,0.0054931640625,6,3
33,0.0003051944715061622,1,0.00457763671875,6,4
34,0.0003051944715061622,1,0.00457763671875,6,5
35,0.00036623328924180465,1,0.0054931640625,6,6
36,0.00025432867308460005,2,0.003814697265625,1,1
37,0.00025432867308460005,2,0.003814697265625,1,2
38,0.0003051944715061622,2,0.00457763671875,1,3
39,0.00025432872625513747,2,0.003814697265625,1,4
40,0.00025432872625513747,2,0.003814697265625,1,5
41,0.0003051944715061622,2,0.00457763671875,1,6
42,0.0002543286730845862,2,0.003814697265625,2,1
43,0.0002543131510416713,2,0.003814697265625,2,2
44,0.0003051944077015062,2,0.00457763671875,2,3
45,0.0002543286730845862,2,0.003814697265625,2,4
46,0.0002543286730845862,2,0.003814697265625,2,5
47,0.0003051944077015062,2,0.00457763671875,2,6
48,0.0003051944715061622,2,0.00457763671875,3,1
49,0.0003051944077015062,2,0.00457763671875,3,2
50,0.00036623328924180465,2,0.0054931640625,3,3
51,0.0003051944715061622,2,0.00457763671875,3,4
52,0.0003051944715061622,2,0.00457763671875,3,5
53,0.00036623336580739185,2,0.0054931640625,3,6
54,0.00025432872625513747,2,0.003814697265625,4,1
55,0.0002543286730845862,2,0.003814697265625,4,2
56,0.0003051944715061622,2,0.00457763671875,4,3
57,0.0002543286730845862,2,0.003814697265625,4,4
58,0.00025432872625513747,2,0.003814697265625,4,5
59,0.0003051944715061622,2,0.00457763671875,4,6
60,0.00025432872625513747,2,0.003814697265625,5,1
61,0.0002543286730845862,2,0.003814697265625,5,2
62,0.0003051944715061622,2,0.00457763671875,5,3
63,0.00025432872625513747,2,0.003814697265625,5,4
64,0.0002543286730845862,2,0.003814697265625,5,5
65,0.0003051944715061622,2,0.00457763671875,5,6
66,0.0003051944715061622,2,0.00457763671875,6,1
67,0.0003051944077015062,2,0.00457763671875,6,2
68,0.00036623336580739185,2,0.0054931640625,6,3
69,0.0003051944715061622,2,0.00457763671875,6,4
70,0.0003051944715061622,2,0.00457763671875,6,5
71,0.00036623328924180465,2,0.0054931640625,6,6
72,0.0003051944077015062,3,0.00457763671875,1,1
73,0.0003051944715061622,3,0.00457763671875,1,2
74,0.00036623328924180465,3,0.0054931640625,1,3
75,0.0003051944715061622,3,0.00457763671875,1,4
76,0.0003051944715061622,3,0.00457763671875,1,5
77,0.00036623336580739185,3,0.0054931640625,1,6
78,0.0003051944715061622,3,0.00457763671875,2,1
79,0.0003051944077015062,3,0.00457763671875,2,2
80,0.00036623328924180465,3,0.0054931640625,2,3
81,0.0003051944715061622,3,0.00457763671875,2,4
82,0.0003051944715061622,3,0.00457763671875,2,5
83,0.00036623336580739185,3,0.0054931640625,2,6
84,0.00036623328924180465,3,0.0054931640625,3,1
85,0.00036623328924180465,3,0.0054931640625,3,2
86,0.0004394531250000028,3,0.006591796875,3,3
87,0.00036623328924180465,3,0.0054931640625,3,4
88,0.00036623328924180465,3,0.0054931640625,3,5
89,0.0004394799470901628,3,0.006591796875,3,6
90,0.0003051944715061622,3,0.00457763671875,4,1
91,0.00030519447150617607,3,0.00457763671875,4,2
92,0.00036623328924180465,3,0.0054931640625,4,3
93,0.0003051944077015062,3,0.00457763671875,4,4
94,0.0003051944715061622,3,0.00457763671875,4,5
95,0.00036623336580739185,3,0.0054931640625,4,6
96,0.0003051944715061622,3,0.00457763671875,5,1
97,0.00030519447150617607,3,0.00457763671875,5,2
98,0.00036623328924180465,3,0.0054931640625,5,3
99,0.0003051944715061622,3,0.00457763671875,5,4
100,0.0003051944077015062,3,0.00457763671875,5,5
101,0.00036623336580739185,3,0.0054931640625,5,6
102,0.00036623336580740573,3,0.0054931640625,6,1
103,0.00036623336580739185,3,0.0054931640625,6,2
104,0.0004394799470901628,3,0.006591796875,6,3
105,0.00036623336580739185,3,0.0054931640625,6,4
106,0.00036623336580739185,3,0.0054931640625,6,5
107,0.0004394799470901628,3,0.006591796875,6,6
108,0.0002543286730845862,4,0.003814697265625,1,1
109,0.00025432872625513747,4,0.003814697265625,1,2
110,0.0003051944715061622,4,0.00457763671875,1,3
111,0.0002543286730845862,4,0.003814697265625,1,4
112,0.00025432872625513747,4,0.003814697265625,1,5
113,0.0003051944715061622,4,0.00457763671875,1,6
114,0.00025432872625513747,4,0.003814697265625,2,1
115,0.00025432867308460005,4,0.003814697265625,2,2
116,0.0003051944715061622,4,0.00457763671875,2,3
117,0.00025432867308460005,4,0.003814697265625,2,4
118,0.00025432872625513747,4,0.003814697265625,2,5
119,0.0003051944715061622,4,0.00457763671875,2,6
120,0.0003051944715061622,4,0.00457763671875,3,1
121,0.00030519447150617607,4,0.00457763671875,3,2
122,0.00036623328924180465,4,0.0054931640625,3,3
123,0.0003051944077015062,4,0.00457763671875,3,4
124,0.0003051944715061622,4,0.00457763671875,3,5
125,0.00036623336580739185,4,0.0054931640625,3,6
126,0.0002543286730845862,4,0.003814697265625,4,1
127,0.0002543286730845862,4,0.003814697265625,4,2
128,0.0003051944077015062,4,0.00457763671875,4,3
129,0.0002543131510416713,4,0.003814697265625,4,4
130,0.0002543286730845862,4,0.003814697265625,4,5
131,0.0003051944077015062,4,0.00457763671875,4,6
132,0.00025432872625513747,4,0.003814697265625,5,1
133,0.00025432872625513747,4,0.003814697265625,5,2
134,0.00030519447150617607,4,0.00457763671875,5,3
135,0.0002543286730845862,4,0.003814697265625,5,4
136,0.0002543286730845862,4,0.003814697265625,5,5
137,0.0003051944715061622,4,0.00457763671875,5,6
138,0.0003051944715061622,4,0.00457763671875,6,1
139,0.00030519447150617607,4,0.00457763671875,6,2
140,0.00036623336580739185,4,0.0054931640625,6,3
141,0.0003051944077015062,4,0.00457763671875,6,4
142,0.0003051944715061622,4,0.00457763671875,6,5
143,0.00036623328924180465,4,0.0054931640625,6,6
144,0.0002543286730845862,5,0.003814697265625,1,1
145,0.00025432872625513747,5,0.003814697265625,1,2
146,0.0003051944715061622,5,0.00457763671875,1,3
147,0.00025432872625513747,5,0.003814697265625,1,4
148,0.0002543286730845862,5,0.003814697265625,1,5
149,0.0003051944715061622,5,0.00457763671875,1,6
150,0.00025432872625513747,5,0.003814697265625,2,1
151,0.00025432867308460005,5,0.003814697265625,2,2
152,0.0003051944715061622,5,0.00457763671875,2,3
153,0.00025432872625513747,5,0.003814697265625,2,4
154,0.00025432867308460005,5,0.003814697265625,2,5
155,0.0003051944715061622,5,0.00457763671875,2,6
156,0.0003051944715061622,5,0.00457763671875,3,1
157,0.00030519447150617607,5,0.00457763671875,3,2
158,0.00036623328924180465,5,0.0054931640625,3,3
159,0.0003051944715061622,5,0.00457763671875,3,4
160,0.0003051944077015062,5,0.00457763671875,3,5
161,0.00036623336580739185,5,0.0054931640625,3,6
162,0.00025432872625513747,5,0.003814697265625,4,1
163,0.00025432872625513747,5,0.003814697265625,4,2
164,0.00030519447150617607,5,0.00457763671875,4,3
165,0.00025432867308460005,5,0.003814697265625,4,4
166,0.00025432867308460005,5,0.003814697265625,4,5
167,0.0003051944715061622,5,0.00457763671875,4,6
168,0.0002543286730845862,5,0.003814697265625,5,1
169,0.0002543286730845862,5,0.003814697265625,5,2
170,0.0003051944077015062,5,0.00457763671875,5,3
171,0.0002543286730845862,5,0.003814697265625,5,4
172,0.0002543131510416713,5,0.003814697265625,5,5
173,0.0003051944077015062,5,0.00457763671875,5,6
174,0.0003051944715061622,5,0.00457763671875,6,1
175,0.00030519447150617607,5,0.00457763671875,6,2
176,0.00036623336580739185,5,0.0054931640625,6,3
177,0.00030519447150617607,5,0.00457763671875,6,4
178,0.0003051944077015062,5,0.00457763671875,6,5
179,0.00036623328924180465,5,0.0054931640625,6,6
180,0.0003051944077015062,6,0.00457763671875,1,1
181,0.0003051944715061622,6,0.00457763671875,1,2
182,0.00036623336580739185,6,0.0054931640625,1,3
183,0.0003051944715061622,6,0.00457763671875,1,4
184,0.0003051944715061622,6,0.00457763671875,1,5
185,0.00036623328924180465,6,0.0054931640625,1,6
186,0.0003051944715061622,6,0.00457763671875,2,1
187,0.0003051944077015062,6,0.00457763671875,2,2
188,0.00036623336580739185,6,0.0054931640625,2,3
189,0.0003051944715061622,6,0.00457763671875,2,4
190,0.0003051944715061622,6,0.00457763671875,2,5
191,0.00036623328924180465,6,0.0054931640625,2,6
192,0.00036623336580740573,6,0.0054931640625,3,1
193,0.00036623336580739185,6,0.0054931640625,3,2
194,0.0004394799470901628,6,0.006591796875,3,3
195,0.00036623336580739185,6,0.0054931640625,3,4
196,0.00036623336580739185,6,0.0054931640625,3,5
197,0.0004394799470901628,6,0.006591796875,3,6
198,0.0003051944715061622,6,0.00457763671875,4,1
199,0.00030519447150617607,6,0.00457763671875,4,2
200,0.00036623336580739185,6,0.0054931640625,4,3
201,0.0003051944077015062,6,0.00457763671875,4,4
202,0.0003051944715061622,6,0.00457763671875,4,5
203,0.00036623328924180465,6,0.0054931640625,4,6
204,0.0003051944715061622,6,0.00457763671875,5,1
205,0.00030519447150617607,6,0.00457763671875,5,2
206,0.00036623336580739185,6,0.0054931640625,5,3
207,0.00030519447150617607,6,0.00457763671875,5,4
208,0.0003051944077015062,6,0.00457763671875,5,5
209,0.00036623328924180465,6,0.0054931640625,5,6
210,0.00036623328924180465,6,0.0054931640625,6,1
211,0.00036623328924180465,6,0.0054931640625,6,2
212,0.0004394799470901628,6,0.006591796875,6,3
213,0.00036623328924180465,6,0.0054931640625,6,4
214,0.00036623328924180465,6,0.0054931640625,6,5
215,0.0004394531250000028,6,0.006591796875,6,6
0,0.0,1,0.0,1,1
1,6.938893903907228e-16,1,0.0,1,2
2,0.0,1,0.0,1,3
3,6.938893903907228e-16,1,0.0,1,4
4,6.938893903907228e-16,1,0.0,1,5
5,0.0,1,0.0,1,6
6,6.938893903907228e-16,1,0.0,2,1
7,5.346325743227354e-10,1,0.0,2,2
8,6.938893903907228e-16,1,0.0,2,3
9,0.002469136328338964,1,0.0,2,4
10,0.00246913632833895,1,0.0,2,5
11,6.938893903907228e-16,1,0.0,2,6
12,0.0,1,0.0,3,1
13,6.938893903907228e-16,1,0.0,3,2
14,0.0,1,0.0,3,3
15,6.938893903907228e-16,1,0.0,3,4
16,6.938893903907228e-16,1,0.0,3,5
17,0.0,1,0.0,3,6
18,6.938893903907228e-16,1,0.0,4,1
19,0.002469136328338964,1,0.0,4,2
20,6.938893903907228e-16,1,0.0,4,3
21,5.346325743227354e-10,1,0.0,4,4
22,0.002469136328338964,1,0.0,4,5
23,6.938893903907228e-16,1,0.0,4,6
24,6.938893903907228e-16,1,0.0,5,1
25,0.002469136328338964,1,0.0,5,2
26,6.938893903907228e-16,1,0.0,5,3
27,0.002469136328338964,1,0.0,5,4
28,5.346325743227354e-10,1,0.0,5,5
29,6.938893903907228e-16,1,0.0,5,6
30,0.0,1,0.0,6,1
31,6.938893903907228e-16,1,0.0,6,2
32,0.0,1,0.0,6,3
33,6.938893903907228e-16,1,0.0,6,4
34,6.938893903907228e-16,1,0.0,6,5
35,0.0,1,0.0,6,6
36,6.938893903907228e-16,2,0.0,1,1
37,5.346325743227354e-10,2,0.0,1,2
38,6.938893903907228e-16,2,0.0,1,3
39,0.002469136328338964,2,0.0,1,4
40,0.00246913632833895,2,0.0,1,5
41,6.938893903907228e-16,2,0.0,1,6
42,5.346325743227354e-10,2,0.0,2,1
43,0.0024691358025012017,2,0.037037037037037035,2,2
